Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;140;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;180,996;181;14;576;16;1;13;566;
;;16;139,527;90,0684;2615;2041;559-418-424-164-423-419-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;17;139,527;90,0748;2615;2041;559-418-424-164-423-419-138-160-420-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;18;139,807;90,114;2615;2041;559-418-420-424-164-419-423-138-160-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;19;139,527;90,162;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;20;139,527;90,3567;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;21;139,807;90,409;2615;2041;559-418-420-424-164-423-419-138-160-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;22;139,807;90,4151;2615;2041;559-418-420-424-164-419-423-138-160-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;23;139,807;90,5143;2615;2041;559-418-420-424-164-419-423-138-160-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;24;139,807;90,5217;2615;2041;559-418-420-424-164-419-423-138-160-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;25;139,807;90,5279;2615;2041;559-418-420-424-164-423-419-138-160-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;26;139,167;90,5345;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;27;139,167;90,5672;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;28;139,167;90,6099;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;29;139,167;90,6169;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;30;139,517;90,6839;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;31;139,517;90,6905;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;32;139,737;90,7053;2615;2041;559-413-418-424-164-138-160-420-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;33;139,517;91,294;2615;2041;559-413-418-424-164-160-420-138-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;34;139,517;91,8257;2615;2041;559-413-418-424-164-160-420-138-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;35;139,517;92,0356;2615;2041;559-413-418-424-164-160-420-138-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;36;139,517;92,391;2615;2041;559-413-418-424-164-160-420-138-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;37;139,517;92,7525;2615;2041;559-413-418-424-164-160-420-138-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;38;139,167;92,8259;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;39;139,517;92,8532;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;40;138,887;92,9548;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;41;138,887;93,7604;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;42;138,887;93,7753;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;43;138,887;94,109;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;44;138,887;94,1803;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;45;138,887;94,3031;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;46;139,527;96,0882;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;47;139,807;96,1235;2615;2041;559-418-420-424-164-419-423-138-160-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;48;139,807;96,7272;2615;2041;559-418-420-424-164-419-423-138-160-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;49;139,807;96,772;2615;2041;559-418-420-424-164-419-423-138-160-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;50;139,807;96,778;2615;2041;559-418-420-424-164-423-419-138-160-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;51;139,807;96,8009;2615;2041;559-418-420-424-164-423-419-138-160-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;52;139,167;96,83;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;53;139,167;96,8667;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;54;139,737;97,0142;2615;2041;559-413-418-424-164-138-160-420-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;55;139,737;97,6682;2615;2041;559-413-418-424-164-138-160-420-423-419-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;56;138,887;97,6857;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;57;139,167;98,1401;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;58;139,517;98,2187;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;59;139,517;98,7344;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;60;139,517;98,7412;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;61;139,517;98,7561;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;62;139,737;100,914;2615;2041;559-413-418-424-164-138-160-420-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;63;139,527;100,928;2615;2041;559-418-424-164-423-419-138-160-420-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;64;139,527;101,028;2615;2041;559-418-424-164-423-419-138-160-420-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;65;139,527;101,074;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;66;138,887;101,094;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;67;139,517;107,547;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;68;139,517;107,831;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;69;139,517;107,926;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;70;139,737;108,762;2615;2041;559-413-418-424-164-138-160-420-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;71;138,887;108,799;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;72;138,887;109,347;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;73;138,887;109,546;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;74;139,167;109,568;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;75;139,167;109,732;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;76;139,527;110,245;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;77;139,527;110,282;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;78;139,527;110,301;2615;2041;559-418-424-164-423-419-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;79;139,527;110,517;2615;2041;559-418-424-164-423-419-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;80;139,527;111,11;2615;2041;559-418-424-164-423-419-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;81;139,527;111,314;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;82;139,527;111,334;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;83;139,527;111,464;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;84;139,167;111,492;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;85;139,167;111,506;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;86;139,737;112,351;2615;2041;559-413-418-424-164-138-160-420-423-419-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;87;139,517;112,429;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;88;139,517;112,505;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;89;139,167;112,519;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;90;139,517;112,591;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;91;139,517;113,744;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;92;138,887;113,755;2615;2041;559-418-413-420-424-164-138-160-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;93;139,527;113,796;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;94;139,527;114,335;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;95;139,527;114,885;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;96;139,527;114,907;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-334-488-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;97;139,527;114,929;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;98;139,527;115,482;2615;2041;559-418-424-164-423-419-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;99;139,527;115,511;2615;2041;559-418-424-164-419-423-138-160-420-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;100;139,737;115,616;2615;2041;559-413-418-424-164-138-160-420-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;101;139,737;116,765;2615;2041;559-413-418-424-164-138-160-420-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;102;139,517;118,314;2615;2041;559-413-418-424-164-160-420-138-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;103;139,517;119,504;2615;2041;559-413-418-424-164-160-420-138-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;104;139,517;120,166;2615;2041;559-413-418-424-164-160-420-138-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;105;139,517;121,278;2615;2041;559-413-418-424-164-160-420-138-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;106;139,517;121,285;2615;2041;559-413-418-424-164-160-420-138-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;107;139,517;121,382;2615;2041;559-413-418-424-164-160-420-138-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;108;139,167;121,815;2615;2041;559-418-413-160-420-424-164-138-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;109;139,517;121,87;2615;2041;559-418-413-138-160-420-424-164-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;110;139,737;121,885;2615;2041;559-413-418-424-164-138-160-420-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;111;139,737;122,027;2615;2041;559-413-418-424-164-138-160-420-423-419-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;112;139,737;122,691;2615;2041;559-413-418-424-164-138-160-420-423-419-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;113;139,867;122,729;2615;2041;559-420-424-164-423-419-138-160-418-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;114;139,807;122,762;2615;2041;559-418-420-424-164-423-419-138-160-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;115;139,807;123,324;2615;2041;559-418-420-424-164-419-423-138-160-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;116;139,807;128,298;2615;2041;559-418-420-424-164-419-423-138-160-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;117;139,807;128,934;2615;2041;559-418-420-424-164-419-423-138-160-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;118;139,807;129,2;2615;2041;559-418-420-424-164-423-419-138-160-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;119;139,517;129,282;2615;2041;559-424-164-423-419-138-160-420-418-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;120;139,517;129,476;2615;2041;559-424-164-423-419-138-160-420-418-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;121;139,867;129,482;2615;2041;559-420-424-164-423-419-138-160-418-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;122;139,807;129,834;2615;2041;559-418-420-424-164-423-419-138-160-413-421-415-409-46-442-444-412-155-488-334-339-253-332-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;123;139,807;132,625;2615;2041;559-418-420-424-164-423-419-138-160-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;124;139,517;137,337;2615;2041;559-424-164-423-419-138-160-420-418-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;125;139,517;137,399;2615;2041;559-424-164-423-419-138-160-420-418-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;126;139,517;137,46;2615;2041;559-424-164-423-419-138-160-420-418-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;127;139,517;137,467;2615;2041;559-424-164-423-419-138-160-420-418-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;128;139,517;137,473;2615;2041;559-424-164-419-423-138-160-420-418-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;129;139,517;139,036;2615;2041;559-424-164-419-423-138-160-420-418-413-421-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;130;139,517;140,591;2615;2041;559-424-164-419-423-138-160-420-418-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;131;139,517;140,68;2615;2041;559-424-164-419-423-138-160-420-418-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;132;139,517;141,09;2615;2041;559-424-164-423-419-138-160-420-418-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
;;133;139,517;141,104;2615;2041;559-424-164-423-419-138-160-420-418-413-421-415-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-489-336-327-517-33-0-74-331-330-79-328-32-513-1-111-20-416-110-422-559
